gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
KLHL22,1775,3.611220064146479,3.6272566,0.9960563380281691,0.7583098591549295
NFX1,1775,4.207272427774648,4.22438,1.0,0.9707042253521126
SIAH2,1775,4.569267905171832,4.5522356,0.9971830985915493,0.9830985915492958
PPP1R11,1775,5.228561181183099,5.235237,1.0,0.9966197183098592
CBLL1,1775,4.568707732056338,4.6117864,1.0,0.9791549295774647
ISG15,1775,5.318329059267605,5.376565,0.9752112676056338,0.8709859154929578
MED31,1775,4.415628926591549,4.4454885,1.0,0.971830985915493
FBXO15,1775,0.6242907328107042,0.46084213,0.18873239436619718,0.004507042253521127
RMND5B,1775,4.356674261030986,4.399793,0.9988732394366198,0.9577464788732394
FBXO17,1775,2.7673101618991547,3.3396435,0.6794366197183098,0.543661971830986
COMMD5,1775,4.761028567267605,4.748676,1.0,0.9949295774647887
MAGEA2,1775,1.4898030159876057,0.09380083,0.30140845070422534,0.2535211267605634
PTK2,1775,5.739664073852394,6.10976,0.9476056338028169,0.9267605633802817
RNF7,1775,6.64305086230986,6.630379,0.9994366197183099,0.9994366197183099
GABARAP,1775,8.069421161633803,8.104143,1.0,1.0
NEURL1,1775,0.8768440656518309,0.2375784,0.27211267605633804,0.09690140845070423
TAX1BP1,1775,6.351611300957747,6.3966904,1.0,0.9983098591549295
UBOX5,1775,2.0262254607549295,2.021533,0.9814084507042253,0.03323943661971831
KCTD14,1775,1.560368930768451,0.7351244,0.46704225352112677,0.2332394366197183
KLHL29,1775,1.719509470512676,1.7980174,0.6895774647887324,0.1504225352112676
ASB6,1775,3.6451608806760563,3.6499028,1.0,0.8715492957746479
VCP,1775,7.458539928338029,7.4839125,1.0,1.0
LZTR1,1775,4.224001325157746,4.2445827,0.9994366197183099,0.9149295774647888
UBR2,1775,3.106753402253521,3.1205344,1.0,0.5932394366197183
NDFIP1,1775,5.5375646358518305,5.6720405,0.9909859154929578,0.9752112676056338
MARCHF6,1775,6.525610992619718,6.463477,1.0,1.0
NHLRC3,1775,4.01775699287324,4.033458,0.9983098591549295,0.9047887323943662
TOMM20,1775,7.154166103042254,7.1297054,1.0,1.0
RLIM,1775,4.043806983774648,4.09541,1.0,0.9233802816901409
BMI1,1775,5.396264647042254,5.3899245,1.0,0.9881690140845071
PRAMEF2,1775,0.023457116130140846,0.0,0.004507042253521127,0.0
IRF2BP1,1775,3.4773922690140844,3.477548,0.9994366197183099,0.763943661971831
MEX3C,1775,4.703985523621972,4.738757,0.9876056338028169,0.9735211267605633
PCMTD2,1775,4.971842709690141,4.9562845,0.9994366197183099,0.9864788732394366
BTBD6,1775,4.378833205592112,4.657897,0.9487323943661972,0.8940845070422535
SPHK1,1775,3.2061161888828167,3.1698143,0.8659154929577465,0.532394366197183
PRAMEF25,1775,0.00850872186140845,0.0,0.0005633802816901409,0.0
WDR26,1775,5.426713326422536,5.440763,1.0,0.9994366197183099
RNF113A,1775,4.005069037802817,4.009634,1.0,0.9380281690140845
FBXO43,1775,1.2988283420129578,1.1560405,0.5622535211267605,0.056901408450704224
RFPL4AL1,1775,0.16530700412338029,0.0,0.03718309859154929,0.012394366197183098
RNF183,1775,0.2846084937430986,0.062362142,0.07323943661971831,0.02140845070422535
KCTD15,1775,3.2897614217622535,3.6996071,0.8535211267605634,0.6630985915492957
FBXO21,1775,4.263513680090141,4.3147182,0.9983098591549295,0.9447887323943662
DCAF4,1775,3.7054408303938033,3.7012718,0.9971830985915493,0.8456338028169014
RFPL2,1775,0.1887612051284507,0.041028455,0.041690140845070424,0.0022535211267605635
MAGEC2,1775,0.9745713897752113,0.069725536,0.21295774647887325,0.13464788732394367
N4BP1,1775,4.098684064167887,4.1360354,0.9994366197183099,0.9340845070422535
UBE4A,1775,3.904536594535211,3.9906192,1.0,0.8940845070422535
ANAPC1,1775,4.442968130366197,4.504868,1.0,0.963943661971831
FBXL15,1775,3.1049414977859153,3.1092267,0.9971830985915493,0.5622535211267605
RABGEF1,1775,4.240237627549297,4.2326913,1.0,0.9825352112676057
FBXO40,1775,0.02607051118478873,0.0,0.0033802816901408453,0.0
TRIM69,1775,3.881424933340282,3.8914678,0.992112676056338,0.8315492957746479
TRIM24,1775,3.5597064087943666,3.507097,0.9988732394366198,0.7312676056338028
PATZ1,1775,3.978679103154929,3.9880848,0.9994366197183099,0.8856338028169014
MIB1,1775,4.065447423414084,4.0827026,0.9994366197183099,0.9194366197183098
ENTREP1,1775,0.6927521896315493,0.2298426,0.2647887323943662,0.03211267605633803
SPOP,1775,5.201681669859155,5.251011,1.0,0.9971830985915493
UBAC1,1775,4.739856523774647,4.722253,1.0,0.9960563380281691
SHARPIN,1775,5.263764430647887,5.2595587,1.0,0.9983098591549295
ECT2L,1775,0.08604255251492958,0.05646006,0.003943661971830986,0.0
KLHL9,1775,3.517830331387606,3.7578766,0.9290140845070423,0.7943661971830986
